"","combinedPval","adjustedPval"
"ARHGEF16",0.743514655849898,1
"MEGF6",0.515872655244867,1
"TPRG1L",5.57568546888376e-09,6.03402450879703e-07
"WRAP73",0.165409739523535,1
"SMIM1",0.0157225955292608,0.491165848175289
"LRRC47",0.0180012799753348,0.548827736727748
"CEP104",0.87845810190205,1
"DFFB",0.314534226190765,1
"C1orf174",0.91753910786322,1
"AL805961.2",0.522960122941668,1
"AJAP1",0.0105060453340292,0.351380193603346
"NPHP4",0.504621885393911,1
"KCNAB2",7.82808372833163e-25,2.76871498968189e-22
"CHD5",2.98814084587207e-10,3.68089693272886e-08
"RPL22",1.02517994093887e-11,1.43803991224383e-09
"AL031847.1",0.0978643103455175,1
"RNF207",0.0167010770674676,0.516641121480724
"ICMT",0.0661375275211222,1
"GPR153",0.139196291190501,1
"ACOT7",8.58286820512409e-25,3.02917434253404e-22
"ESPN",0.00864141625093506,0.297653977039994
"TNFRSF25",0.00031090487408636,0.0164451859318253
"PLEKHG5",0.00172611834519731,0.0744954274353329
"NOL9",0.738713118494928,1
"ZBTB48",0.090304206600644,1
"KLHL21",0.851130703080528,1
"PHF13",0.474088802714691,1
"THAP3",0.67770548956356,1
"DNAJC11",0.073941864076597,1
"CAMTA1",3.1923202480133e-05,0.00215197041069875
"VAMP3",3.58855023350559e-40,2.46443004448023e-37
"PER3",0.342198393550327,1
"PARK7",1.55484650710136e-08,1.59371325395897e-06
"ERRFI1",0.54342334510122,1
"SLC45A1",0.965429952514517,1
"RERE",0.745380425278046,1
"ENO1",0.00175400761629296,0.075345487290778
"ENO1-AS1",0.99487375856508,1
"SLC2A5",0.535327865406522,1
"GPR157",0.458587746843796,1
"MIR34AHG",0.408820345215303,1
"H6PD",0.241673852177066,1
"SPSB1",0.400307935476724,1
"BX323043.1",0.297558357229701,1
"AL928921.2",0.96517658180578,1
"SLC25A33",0.10104182040502,1
"TMEM201",0.715024975552248,1
"PIK3CD",0.0613440510440929,1
"CLSTN1",3.8673460031513e-30,1.83165000605871e-27
"CTNNBIP1",0.00565095493088164,0.207806294297721
"LZIC",0.276990549534295,1
"NMNAT1",0.994824998396796,1
"RBP7",5.00418287977984e-17,1.11608543565117e-14
"UBE4B",0.790494965710576,1
"KIF1B",4.49727208506889e-06,0.000331650260070177
"AL139424.2",0.0451532822437594,1
"PGD",0.445120050273639,1
"CENPS-CORT",0.502002206157455,1
"CENPS",0.254976308490536,1
"CORT",0.000118024039097331,0.00687130633170841
"DFFA",0.115322896296544,1
"PEX14",0.21717016289882,1
"CASZ1",0.912826058879362,1
"AL139423.1",0.431624616754402,1
"TARDBP",6.13127899096177e-05,0.00390326227605822
"AL109811.3",0.0945172039437499,1
"SRM",0.173514209673728,1
"EXOSC10",0.488247605341509,1
"AL109811.2",0.484426213138668,1
"MTOR",0.000113369568390143,0.00667340017453609
"UBIAD1",0.368275134247789,1
"DISP3",0.252278074805412,1
"FBXO2",2.76238917629179e-07,2.43083674594058e-05
"FBXO44",3.14823728309044e-07,2.74545519189931e-05
"FBXO6",0.220240669358265,1
"MAD2L2",0.214738109482435,1
"DRAXIN",0.0591917775872307,1
"AGTRAP",0.0818888816261063,1
"C1orf167",0.349527498704463,1
"MTHFR",0.308117205414586,1
"CLCN6",0.0440888989701409,1
"NPPA",0.000113960513920097,0.00669184252907342
"KIAA2013",6.49580124958415e-05,0.00410204979106666
"PLOD1",0.00181894781504877,0.0776477980324519
"MFN2",0.695085712089747,1
"MIIP",0.0277469931157677,0.777102248752039
"TNFRSF1B",0.591161336846287,1
"VPS13D",0.00033690541899456,0.0175638290761705
"DHRS3",0.0862781123572836,1
"LRRC38",0.0696897457266732,1
"AL354712.1",0.0774084012151433,1
"PDPN",0.376926088447468,1
"PRDM2",0.0123924405408826,0.404618936330448
"KAZN",0.000580176800588639,0.0285689613618719
"TMEM51-AS1",0.511011024828788,1
"TMEM51",0.487322255226829,1
"FHAD1",0.000508450187243215,0.0253409518184235
"EFHD2",6.66133814775094e-16,1.35713066925492e-13
"CASP9",0.158529926693045,1
"DNAJC16",0.325432849327347,1
"AGMAT",0.904064379180182,1
"DDI2",0.744471381213142,1
"PLEKHM2",0.00103902013188162,0.0476358341138599
"SLC25A34",0.833330149880781,1
"FBLIM1",0.595358034170962,1
"UQCRHL",0.687459773872725,1
"AL450998.2",0.769387706779051,1
"SPEN",0.049424899203893,1
"ZBTB17",0.984931019680978,1
"SRARP",0.411899497628101,1
"HSPB7",0.450414455425995,1
"FAM131C",0.0411916605567575,1
"EPHA2",0.182641053426656,1
"ARHGEF19",0.79733272720112,1
"CPLANE2",0.0104872609968586,0.350894350020953
"FBXO42",0.643863285712905,1
"SZRD1",0.00165141544000846,0.0715900943338944
"NECAP2",0.140523279319916,1
"AL137802.2",0.0207074377119737,0.615174914755034
"NBPF1",0.00211964164681122,0.0890311845652891
"CROCC",0.980359081581711,1
"BX284668.5",0.936939620109758,1
"MFAP2",0.0193739074175887,0.583019640849743
"ATP13A2",3.26633839975443e-08,3.22562254873201e-06
"SDHB",3.76283712411052e-07,3.2470633318943e-05
"PADI2",8.04698401784259e-75,1.33969720297178e-71
"PADI4",0.0362674437778747,0.965527947170697
"RCC2",0.0118230913730984,0.389190437541647
"ARHGEF10L",0.0870035989737649,1
"IGSF21",0.000141194335089523,0.00808602704278679
"PAX7",0.986510394154005,1
"ALDH4A1",0.464971773279592,1
"IFFO2",0.169350035269286,1
"UBR4",0.76034757465343,1
"AL035413.1",0.717719325665993,1
"EMC1",0.604569824075191,1
"MRTO4",0.00083339215757039,0.0390891618722469
"AKR7A3",0.265369663368209,1
"AKR7A2",0.00120848694721243,0.054600402069743
"PQLC2",0.712911031116053,1
"CAPZB",0.139832149259547,1
"MINOS1",8.67001732398719e-23,2.73752547114052e-20
"NBL1",5.16615625477668e-05,0.00336023486441811
"TMCO4",0.161772645243103,1
"OTUD3",0.00308104949971177,0.123166910379739
"PLA2G5",0.141908234815011,1
"UBXN10-AS1",0.127230933738529,1
"UBXN10",0.116398248284994,1
"CAMK2N1",1.69555869519112e-61,2.01051230084481e-58
"MUL1",0.0300346838072214,0.827533077387774
"FAM43B",0.34880760655416,1
"CDA",0.860838890225748,1
"PINK1",3.38662431431658e-12,4.98376672222859e-10
"PINK1-AS",0.911460457758478,1
"DDOST",0.0269196044828266,0.758310872889148
"KIF17",1.92766059359251e-05,0.00135140850155749
"SH2D5",0.000114957304873986,0.00672992630573036
"HP1BP3",0.00314221914492674,0.125066197653991
"EIF4G3",2.84151854423875e-06,0.000216022965315067
"ECE1",0.887962627726963,1
"NBPF3",0.444286631289172,1
"ALPL",7.7803685913258e-05,0.00481365164452291
"RAP1GAP",3.08216704898445e-05,0.00208453576305469
"USP48",0.00122530985757208,0.0552695706494938
"HSPG2",0.00157299183558357,0.0687691766552978
"CDC42",2.29501131632226e-06,0.000176593238597373
"WNT4",0.705695919784396,1
"ZBTB40",0.71571595670168,1
"EPHA8",0.865138337949082,1
"C1QA",0.187183046896773,1
"C1QC",1.7660869674696e-05,0.00124342438037451
"C1QB",0.0629821946819844,1
"EPHB2",0.761758166210775,1
"KDM1A",0.00603360473191383,0.219963719641861
"LUZP1",3.40401513566624e-05,0.00228719209181595
"LINC01355",0.0186291259056213,0.563591047036845
"HNRNPR",4.28013304798469e-06,0.000317484056852925
"ZNF436",0.0282398308965721,0.788115876431387
"ZNF436-AS1",0.766296132328871,1
"TCEA3",0.209057746488233,1
"ASAP3",0.454413078661274,1
"ID3",8.87324924647714e-08,8.35228377263644e-06
"RPL11",3.38248844903723e-26,1.29953426914456e-23
"ELOA",0.341034883667731,1
"ELOA-AS1",0.215683131543114,1
"PITHD1",4.97024532641888e-09,5.39653204808816e-07
"LYPLA2",0.200471800674628,1
"GALE",0.00462353996659548,0.175022909009261
"HMGCL",0.00317588037399352,0.126192659808975
"FUCA1",0.13107707463056,1
"PNRC2",0.0444632786816803,1
"SRSF10",0.0485021828325374,1
"STPG1",0.795731032072062,1
"NIPAL3",2.55351295663786e-15,4.91669204883688e-13
"RCAN3",0.177009174541704,1
"SRRM1",0.145623702577755,1
"CLIC4",2.88782086421892e-42,2.1440059280944e-39
"SYF2",0.539373127193735,1
"RSRP1",0.0158577438793308,0.494552571334634
"AL031432.3",0.353115026861544,1
"TMEM50A",0.0709380741389818,1
"RHCE",0.772515750039096,1
"MACO1",0.116873358208103,1
"LDLRAP1",1.38104965973964e-19,3.57337479157932e-17
"MAN1C1",0.000111174594096819,0.00656294621349264
"SELENON",0.011264392966319,0.373484631766401
"AL020996.1",0.659674437845102,1
"MTFR1L",0.0492711063225661,1
"AUNIP",0.104140307678346,1
"PAQR7",0.0567739372676288,1
"STMN1",4.20282196764121e-21,1.18817701092837e-18
"PAFAH2",0.0159594791840622,0.49696468369123
"EXTL1",0.00236139737279095,0.0978638261467707
"PDIK1L",0.357120735299036,1
"FAM110D",0.161713721115678,1
"ZNF593",0.0167623178345584,0.518049422560267
"CNKSR1",0.14498769840028,1
"CEP85",0.115182402563534,1
"SH3BGRL3",0.0178244896899354,0.544343941198234
"UBXN11",0.108426065783062,1
"CD52",0.019835877309947,0.593669918217023
"DHDDS",0.0533998208900435,1
"HMGN2",7.4605376426326e-18,1.73433343751336e-15
"RPS6KA1",0.265427539756367,1
"ARID1A",0.293466295561652,1
"PIGV",0.946761298041357,1
"ZDHHC18",1.11610564594855e-05,0.00080576444531142
"SFN",0.461707059785957,1
"GPN2",0.498820485131288,1
"GPATCH3",0.48965387081054,1
"NUDC",4.32242686532192e-07,3.6859457768489e-05
"KDF1",0.225430594308085,1
"TRNP1",0.0007198934054512,0.034342258271244
"TENT5B",0.356257586445243,1
"SLC9A1",0.000695789026268101,0.0334245495651775
"WDTC1",0.898273534107449,1
"TMEM222",0.0204490100361663,0.609474953987798
"SYTL1",0.0663000030293998,1
"MAP3K6",0.37382905274717,1
"GPR3",0.179648795061659,1
"WASF2",1.77635683940025e-15,3.4566508033915e-13
"AHDC1",0.0916946311509534,1
"FGR",0.714624324934768,1
"IFI6",4.2145812197969e-06,0.000312762427708848
"FAM76A",0.0879916238609513,1
"STX12",0.000499519391600867,0.0249335427026804
"PPP1R8",0.00587714194473521,0.21515822208124
"THEMIS2",1.36205626777297e-08,1.40748270867408e-06
"RPA2",0.132080615294542,1
"SMPDL3B",0.411698047675936,1
"XKR8",0.109617830843677,1
"EYA3",0.0846362560045906,1
"PTAFR",0.0758488209459398,1
"DNAJC8",0.100232369849405,1
"ATP5IF1",4.8967352941224e-32,2.54598635629992e-29
"AL353622.1",0.0589097497085842,1
"SESN2",0.0608859932698421,1
"MED18",0.878513808424498,1
"PHACTR4",0.203232276211327,1
"RCC1",0.884869353065547,1
"TRNAU1AP",0.167797825281349,1
"SNHG12",0.289332778887371,1
"TAF12",0.181831956120404,1
"LINC01715",0.508244810637637,1
"GMEB1",0.078365783998265,1
"YTHDF2",0.0438083464348835,1
"OPRD1",0.0110160863962079,0.366653135908958
"EPB41",0.0318823824791066,0.868138067112317
"TMEM200B",0.612212241629922,1
"SRSF4",0.132859547349925,1
"MECR",0.301621065322774,1
"PTPRU",0.0960564665023969,1
"MATN1-AS1",0.00341912334327188,0.1343997968043
"LAPTM5",3.75365738491951e-10,4.60667234527573e-08
"SDC3",8.22302384712037e-05,0.0050514909996651
"PUM1",0.00422530180508052,0.161805835016716
"NKAIN1",0.186795157262765,1
"SNRNP40",0.244461577297948,1
"ZCCHC17",0.247778881636192,1
"AL451070.1",0.505651803435568,1
"FABP3",3.24623591135544e-27,1.32436415946983e-24
"SERINC2",4.95960537133522e-05,0.00324123668660557
"TINAGL1",0.0690626011314254,1
"PEF1",0.000114433396678493,0.00670489163930331
"COL16A1",6.61914967281518e-13,1.03507137215831e-10
"ADGRB2",4.10782519111308e-15,7.71127416909783e-13
"PTP4A2",9.66141675138864e-61,1.09067828548601e-57
"KHDRBS1",0.449771196072092,1
"TMEM39B",0.234343952518682,1
"KPNA6",0.228390886684497,1
"TXLNA",0.141187392539803,1
"CCDC28B",0.903131004217753,1
"AL049795.1",0.444290640866242,1
"IQCC",0.257764521333296,1
"TMEM234",0.507468269737486,1
"EIF3I",2.18458546682454e-05,0.00152310651011164
"FAM167B",0.0444890848906343,1
"LCK",0.588127165387591,1
"HDAC1",0.0004904504026495,0.0244957004202703
"MARCKSL1",7.90782851201362e-134,3.52260725410961e-130
"FAM229A",0.437810792445922,1
"BSDC1",0.747927073619425,1
"ZBTB8B",0.0449620568898446,1
"ZBTB8A",0.152931391463413,1
"ZBTB8OS",1.31981230355738e-05,0.000948673620337466
"RBBP4",0.113487026627563,1
"SYNC",0.00883861374941097,0.303495058704053
"KIAA1522",0.140384447183843,1
"YARS",1.52023906219156e-06,0.000120059946320566
"S100PBP",0.16734433833051,1
"FNDC5",0.000933552011511907,0.0432455357518092
"HPCA",7.08993353084229e-43,5.36036516852458e-40
"TMEM54",0.706051901637641,1
"RNF19B",0.00991715169659146,0.335084135647691
"AK2",1.29730579589982e-06,0.00010349532857187
"AZIN2",0.884594683021382,1
"TRIM62",0.00324613458293455,0.128519437790476
"ZNF362",0.0254401760104894,0.725690237467271
"PHC2",0.001752305284761,0.0753100799988083
"CSMD2",0.131383688465929,1
"SMIM12",0.000433218975022465,0.0218759049086167
"GJB5",0.19120277420344,1
"GJB3",0.765350553323463,1
"GJA4",0.348381329087081,1
"DLGAP3",8.868021872388e-10,1.05001674940984e-07
"AC114490.3",0.558666847307647,1
"ZMYM6",0.278247225947454,1
"ZMYM1",0.782132654177079,1
"SFPQ",9.68078497272096e-05,0.00583607373154546
"ZMYM4",0.537670513163512,1
"KIAA0319L",0.00552879860996991,0.203951222474439
"NCDN",2.44347488004758e-43,1.88192716751762e-40
"TFAP2E",0.130101269808753,1
"PSMB2",0.953890318823234,1
"C1orf216",0.000105361119104863,0.00629643637954391
"AGO4",0.210433809655957,1
"AGO1",0.638862819665352,1
"AGO3",0.056463730575592,1
"ADPRHL2",0.000911205275031302,0.0424010269066803
"COL8A2",0.0197205646859908,0.590647731346794
"TRAPPC3",0.0395870854470703,1
"MAP7D1",7.71132679056041e-05,0.00477990733369164
"THRAP3",0.332883247048386,1
"SH3D21",0.366917453384436,1
"EVA1B",0.622138968425462,1
"AL591845.1",0.244245956791599,1
"STK40",0.422556707636017,1
"LSM10",0.00520017615314505,0.19343052556003
"OSCP1",0.114508344050213,1
"MRPS15",0.0179796490778732,0.548501504629282
"CSF3R",0.747376738808941,1
"AL596257.1",0.174075451939051,1
"GRIK3",8.81947710951181e-06,0.000639798498913096
"LINC01137",0.663906376930988,1
"ZC3H12A",0.515713264572655,1
"MEAF6",0.998886338089385,1
"SNIP1",0.47670783025051,1
"DNALI1",0.176193168725364,1
"GNL2",0.840945538181243,1
"C1orf109",0.26664416613262,1
"CDCA8",0.79052193218146,1
"EPHA10",0.000609093263141847,0.0297717892857897
"MANEAL",0.00134442875500085,0.059969724879163
"YRDC",0.0231162534034198,0.672552573569724
"C1orf122",1.88947773019648e-25,6.92050792463329e-23
"MTF1",0.367844427771619,1
"INPP5B",0.0277185266455271,0.776700935613857
"SF3A3",0.064408188232751,1
"FHL3",0.764791810222813,1
"UTP11",0.0153487378133514,0.481219698871819
"POU3F1",0.00192059441177284,0.0816696320576926
"RRAGC",0.995436607422183,1
"AL139260.1",0.375670287985356,1
"MYCBP",0.117181442541857,1
"RHBDL2",0.00061018385455136,0.0298152732300839
"AKIRIN1",0.177171757869342,1
"NDUFS5",1.00043255379854e-21,2.93400065198865e-19
"MACF1",0.00367935180047119,0.143262245092244
"BMP8A",0.268056606456379,1
"PABPC4",0.715556976486718,1
"HEYL",0.23353303396517,1
"HPCAL4",0.00646062707198403,0.233108056825659
"PPIE",0.383125027939691,1
"BMP8B",0.235512051805447,1
"OXCT2",0.598699285510209,1
"TRIT1",0.588291202270667,1
"MYCL",0.595657641677543,1
"MFSD2A",0.171522802592882,1
"CAP1",0.285994699609612,1
"PPT1",0.000580324885699701,0.0285689613618719
"RLF",0.252625863328609,1
"AL050341.2",0.922836067081614,1
"ZMPSTE24",0.303768166294602,1
"COL9A2",1.0078820406083e-25,3.73300354282545e-23
"SMAP2",1.30531141451229e-11,1.81706783136151e-09
"ZFP69B",0.704025563946849,1
"ZFP69",0.686102073518237,1
"AL603839.3",0.488562538369016,1
"EXO5",0.594510777624717,1
"ZNF684",0.0125206930909231,0.407998204294915
"RIMS3",1.23143216024199e-20,3.40543768931855e-18
"NFYC",0.0116997166683266,0.385935433312782
"KCNQ4",0.977136440201821,1
"CITED4",0.0484606255190541,1
"CTPS1",0.127947553128107,1
"SCMH1",0.0730775540276538,1
"FOXO6",0.416066387464153,1
"EDN2",0.581980992151385,1
"HIVEP3",0.500513434101028,1
"FOXJ3",0.633226313123342,1
"RIMKLA",2.69137669529629e-05,0.00184983935707595
"ZMYND12",0.804171482643348,1
"PPCS",0.00299210334270261,0.120077211228913
"CCDC30",0.920238794824393,1
"PPIH",0.593396554008462,1
"AC098484.2",0.1939190377645,1
"YBX1",5.15713622251113e-07,4.34336656640158e-05
"P3H1",0.20326276606558,1
"C1orf50",0.950627622076487,1
"SVBP",0.100301942103586,1
"ERMAP",0.81549777657982,1
"ZNF691",0.909594509158134,1
"SLC2A1",0.0579079801410998,1
"SLC2A1-AS1",0.402671006312092,1
"FAM183A",0.549576779900367,1
"EBNA1BP2",6.5651476313211e-05,0.00414108164729174
"CFAP57",0.153888928581993,1
"TMEM125",3.37307967132555e-53,3.25116638021847e-50
"TIE1",0.804169617744957,1
"CDC20",0.00421899292031447,0.161601786290014
"ELOVL1",2.14130081821302e-109,6.30228969595317e-106
"MED8",0.190652782306423,1
"SZT2",0.846208079309415,1
"HYI",0.0095970306283073,0.325736862727969
"PTPRF",3.19168102014267e-06,0.000240645657900333
"KDM4A",0.400446467035094,1
"ST3GAL3",5.00750943208672e-05,0.00326736111551175
"ARTN",0.088657477822903,1
"IPO13",3.60768372322862e-20,9.71596051819552e-18
"DPH2",0.128032652936857,1
"ATP6V0B",4.71877981134128e-10,5.7229369649993e-08
"B4GALT2",0.0263413364926105,0.745461375551017
"CCDC24",0.181223977174212,1
"SLC6A9",1.03012685359616e-06,8.37617353594867e-05
"AL139220.2",0.00263446849036386,0.107397029237331
"DMAP1",0.184722647490852,1
"ERI3",8.11996040419594e-05,0.00499749128309979
"RNF220",0.00218386066067633,0.091518666862966
"TMEM53",0.291964331252842,1
"ARMH1",0.25381393729433,1
"KIF2C",0.128822669142608,1
"RPS8",2.50520914128906e-34,1.39968619184382e-31
"BEST4",0.0130049167666899,0.42004006318428
"PLK3",0.6718928767726,1
"PTCH2",0.228972720911486,1
"EIF2B3",0.772681704703616,1
"HECTD3",0.554043814594435,1
"UROD",0.0570458310935702,1
"ZSWIM5",0.768916836627067,1
"HPDL",0.244764048633967,1
"MUTYH",0.82693294638269,1
"TOE1",0.975726685277205,1
"TESK2",5.09415731819729e-10,6.16458651099008e-08
"CCDC163",0.655636655253158,1
"MMACHC",0.105870239504753,1
"PRDX1",1.50990331349021e-13,2.5086852277235e-11
"AKR1A1",0.032405515952698,0.880725771789602
"NASP",0.0118079426195852,0.388924802185265
"GPBP1L1",0.00308374263532385,0.12321480069754
"TMEM69",0.0216999106299229,0.638901279056269
"IPP",0.132719947094678,1
"MAST2",0.0195651812357267,0.587381463804926
"PIK3R3",0.0125016910169888,0.40747987289359
"TSPAN1",0.0397096106490106,1
"POMGNT1",0.0718076915097189,1
"LURAP1",0.323687553998477,1
"RAD54L",0.759598883191007,1
"LRRC41",0.383009292948202,1
"UQCRH",3.07707324890674e-32,1.60494242928432e-29
"NSUN4",0.0232026941313362,0.673933005590433
"FAAH",0.0356063181985107,0.949616198964409
"AL136373.1",0.000685708139358865,0.0330269147812568
"KNCN",0.516943296814439,1
"MKNK1",0.916144504705781,1
"MOB3C",0.187367217422607,1
"ATPAF1",0.267749079346631,1
"EFCAB14",0.000422676438481151,0.0214420860460227
"CYP4B1",0.11252262991606,1
"CYP4X1",0.00226580461493953,0.0945679619882813
"CYP4Z1",1.14280225949059e-07,1.06056388804531e-05
"LINC00853",0.10811606376935,1
"PDZK1IP1",0.14216366226507,1
"TAL1",0.636072101888554,1
"STIL",0.502146718085058,1
"CMPK1",1.85076210724722e-05,0.00129970926848984
"SPATA6",0.279043762074958,1
"AGBL4",0.642152143671428,1
"BEND5",1.72249240315558e-07,1.56160842279486e-05
"ELAVL4",3.83026943495679e-14,6.72314439904851e-12
"DMRTA2",0.0182648822179603,0.555118854139488
"FAF1",0.0666192596538302,1
"CDKN2C",0.0864165819510708,1
"RNF11",1.02962083303737e-12,1.59344258681942e-10
"TTC39A",0.0777342291361051,1
"EPS15",5.63793285390801e-08,5.45970339754693e-06
"OSBPL9",0.0985946655103085,1
"NRDC",0.424564354780516,1
"RAB3B",0.000329882930375724,0.0172606837886744
"TXNDC12",0.175450121720466,1
"KTI12",0.470172538957377,1
"BTF3L4",0.0128559393415931,0.416370613334566
"ZFYVE9",0.000558720988805494,0.027612635148265
"CC2D1B",0.0179989787758038,0.548827736727748
"PRPF38A",0.598420629413308,1
"TUT4",0.297013434486167,1
"GPX7",0.522006997469671,1
"COA7",0.0456602748994406,1
"ZYG11B",7.81013032025157e-09,8.32640435104093e-07
"ECHDC2",0.846160928289738,1
"SCP2",0.681332898858967,1
"PODN",0.236695692462081,1
"CPT2",0.0425625437937001,1
"C1orf123",0.31697015527165,1
"MAGOH",0.185598042045448,1
"AL606760.1",0.253709651546087,1
"LRP8",0.000550919366528291,0.0272848826454615
"GLIS1",0.733822075992662,1
"NDC1",0.542822504923756,1
"YIPF1",0.254524777872266,1
"HSPB11",0.0330083771612635,0.8939246877304
"LRRC42",0.789819462913441,1
"TMEM59",3.89247072637273e-17,8.74053470730086e-15
"TCEANC2",0.551875692792366,1
"CYB5RL",0.736417624478864,1
"MRPL37",7.79392033378734e-06,0.000565898850266359
"SSBP3",4.25070201259814e-10,5.17811355887131e-08
"ACOT11",0.0564093921433424,1
"MROH7",0.491044774602155,1
"TTC4",0.850636162202278,1
"PARS2",0.629690014205002,1
"TTC22",0.611864594702927,1
"DHCR24",2.39008812741304e-12,3.58446982402265e-10
"TMEM61",0.604719696641065,1
"USP24",0.489211220934283,1
"PLPP3",0.0175100017687403,0.536230118003554
"PRKAA2",3.42241468465065e-06,0.000257336142966879
"DAB1",0.00153007660601823,0.0671244416960192
"OMA1",0.773803452850043,1
"TACSTD2",1.27630588653282e-06,0.000101918678952426
"MYSM1",0.000325528919292717,0.0170708010868607
"JUN",0.0457326238274094,1
"AC105277.1",0.0585888957532845,1
"AC093424.1",0.674769653060744,1
"FGGY",0.25642306371507,1
"HOOK1",0.00198376566816405,0.0840955122132478
"CYP2J2",0.0510520740008822,1
"LINC01748",0.97597765066312,1
"NFIA",1.77635683940025e-15,3.4566508033915e-13
"TM2D1",0.052999339337968,1
"AC099791.2",0.279497864073794,1
"PATJ",0.0304252887836602,0.836858114774516
"KANK4",0.866255662777116,1
"USP1",0.498088377320158,1
"DOCK7",0.0828461545484387,1
"ATG4C",5.87564678683483e-05,0.00375648339848261
"ALG6",0.980463039046316,1
"ITGB3BP",0.253128936815048,1
"EFCAB7",0.934699129604966,1
"PGM1",0.203083025574344,1
"ROR1",0.448934297285765,1
"CACHD1",0.355351749036122,1
"RAVER2",0.634428066325904,1
"JAK1",0.0014933036117446,0.0656901004670722
"AK4",0.320908368007555,1
"DNAJC6",7.10992575925218e-09,7.60944621230434e-07
"LEPROT",0.00375227491211305,0.145737128430756
"LEPR",0.114534308832898,1
"PDE4B",7.70280887740782e-07,6.35104272872805e-05
"SGIP1",1.61256397024356e-06,0.000126986171597429
"TCTEX1D1",0.211555165213654,1
"WDR78",0.217533080886137,1
"MIER1",0.000482894975911585,0.0241622736497706
"SLC35D1",0.0787682243168348,1
"IL12RB2",0.455489259854936,1
"SERBP1",0.25710294350318,1
"GADD45A",0.0462603403810353,1
"GNG12",0.51869171280421,1
"DIRAS3",0.536173342661509,1
"WLS",0.787662464605313,1
"RPE65",0.964462939519409,1
"LRRC7",0.000152111591542159,0.00862434229514808
"LRRC40",0.275927208860668,1
"SRSF11",0.00149766194339362,0.0658250553496569
"ANKRD13C",0.256603312795083,1
"HHLA3",0.19075366529786,1
"CTH",0.0161863838538858,0.502700658533201
"AL354872.2",0.432004900679601,1
"PTGER3",0.0570848606721637,1
"ZRANB2",0.0208470548311945,0.618653593246466
"NEGR1",9.82502967872279e-12,1.38052592052378e-09
"FPGT",0.784237579798973,1
"TNNI3K",0.0106025087684183,0.354175243875271
"ERICH3",0.000114210588614494,0.00669659802846084
"CRYZ",0.0274051560192368,0.769358763373349
"TYW3",0.159626409941712,1
"SLC44A5",0.935160663977164,1
"ACADM",0.0353369597199009,0.945183635740009
"RABGGTB",0.403330502973138,1
"ST6GALNAC3",0.0013107820544298,0.0586753122232722
"ST6GALNAC5",6.25593720307016e-05,0.0039734131516861
"PIGK",0.0136577384644478,0.437099459519356
"AK5",5.39335798244167e-10,6.50278565939512e-08
"AC118549.1",0.132649757673427,1
"USP33",0.00192494725576486,0.0818125135674408
